order_id,product_id,quantity,amount,order_date,unit_price
221958,SKU_1964,38,64.98,2020-01-01,1.71
771155,SKU_1241,18,742.5,2020-01-01,41.25
231932,SKU_1501,49,1426.39,2020-01-01,29.11
465838,SKU_1760,14,1073.52,2020-01-01,76.68
359178,SKU_1386,-30,2043.3,2020-01-01,-68.11
744167,SKU_1006,47,3297.52,2020-01-01,70.16
210268,SKU_1087,25,2143.5,2020-01-01,85.74
832180,SKU_1597,8,765.2,2020-01-01,95.65
154886,SKU_1907,19,1865.61,2020-01-01,98.19
237337,SKU_1866,40,3926.8,2020-01-01,98.17
621430,SKU_1144,49,4290.44,2020-01-01,87.56
187498,SKU_1450,41,2439.91,2020-01-01,59.51
999159,SKU_1330,41,1049.19,2020-01-01,25.59
275203,SKU_1709,3,6.27,2020-01-01,2.09
291335,SKU_1874,29,1040.52,2020-01-01,35.88
378167,SKU_1163,16,1321.28,2020-01-01,82.58
141090,SKU_1656,7,495.95,2020-01-01,70.85
429365,SKU_1341,49,730.59,2020-01-01,14.91
164820,SKU_1000,21,22.47,2020-01-01,1.07
887201,SKU_1119,46,1243.38,2020-01-01,27.03
421879,SKU_1578,43,3318.31,2020-01-01,77.17
818315,SKU_1463,14,936.46,2020-01-01,66.89
427069,SKU_1866,39,2581.02,2020-01-01,66.18
876997,SKU_1461,24,1680.24,2020-01-01,70.01
299041,SKU_1048,48,1337.76,2020-01-02,27.87
891743,SKU_1818,30,1785.9,2020-01-02,59.53
203355,SKU_1326,33,3232.68,2020-01-02,97.96
335796,SKU_1473,22,632.06,2020-01-02,28.73
314176,SKU_1887,10,867.1,2020-01-02,86.71
284779,SKU_1938,11,997.59,2020-01-02,90.69
447449,SKU_1367,15,605.4,2020-01-02,40.36
521909,SKU_1286,48,402.72,2020-01-02,8.39
358795,SKU_1023,30,2979.3,2020-01-02,99.31
586232,SKU_1722,14,144.48,2020-01-02,10.32
600186,SKU_1292,32,2654.08,2020-01-02,82.94
256730,SKU_1448,26,920.14,2020-01-02,35.39
970910,SKU_1984,21,1288.14,2020-01-02,61.34
484681,SKU_1062,5,153.85,2020-01-02,30.77
249503,SKU_1567,47,1791.17,2020-01-02,38.11
754811,SKU_1457,12,348.72,2020-01-02,29.06
627035,SKU_1529,29,618.28,2020-01-02,21.32
748143,SKU_1873,21,773.85,2020-01-02,36.85
552366,SKU_1960,25,2167,2020-01-02,86.68
165725,SKU_1412,16,145.28,2020-01-02,9.08
229981,SKU_1588,31,65.1,2020-01-02,2.1
184654,SKU_1259,20,487.2,2020-01-02,24.36
691723,SKU_1632,31,2629.73,2020-01-02,84.83
419030,SKU_1907,11,1024.1,2020-01-02,93.1
428947,SKU_1183,32,2607.04,2020-01-03,81.47
